Suburbs,Latitude,Longitude
"Broadmeadows, Victoria",-37.686039999999934,144.92610000000002
"Dandenong, Victoria",-37.959884960651344,145.20885009561144
"East Melbourne, Victoria",-37.81004320728129,144.98553130076522
"Elsternwick, Victoria",-37.88732240276221,145.00989551186356
"Essendon, Victoria",-37.751529999999946,144.90951000000007
"Fitzroy, Victoria",-37.80823298374112,144.9778140572034
"Flemington, Victoria",-37.786155932486004,144.9348462094582
"Frankston, Victoria",-38.15465624920864,145.12748980192845
"Glen Waverley, Victoria",-37.8849544308811,145.1666924134657
"Heidelberg, Victoria",-37.75763999999998,145.06943
"Maribyrnong, Victoria",-37.769199999999955,144.8863500000001
"St Kilda East, Victoria",-37.863994363070795,144.97386949664195
"St Kilda, Victoria",-37.863994363070795,144.97386949664195
"Sunshine, Victoria",-37.79028828223188,144.83692338917294
"Werribee, Victoria",-37.88898999999998,144.69999000000007
"Williamstown, Victoria",-37.86273212632847,144.88855421045093
"Abbotsford, Victoria",-37.80960842749556,144.9913598442884
"Aberfeldie, Victoria",-37.75932999999998,144.8958
"Aintree, Victoria",-37.81004320728129,144.98553130076522
"Airport West, Victoria",-37.711869999999976,144.88697000000002
"Albanvale, Victoria",-37.744599999999934,144.77025000000003
"Albert Park, Victoria",-37.84207848988421,144.95350471104484
"Albion, Victoria",-37.81004320728129,144.98553130076522
"Alphington, Victoria",-37.77941999999996,145.02503000000002
"Altona Meadows, Victoria",-37.86910608866572,144.7871778558153
"Altona North, Victoria",-37.830469999999934,144.84134000000006
"Altona, Victoria",-37.86910608866572,144.7871778558153
"Ardeer, Victoria",-37.8087498377118,144.9773908802203
"Armadale, Victoria",-37.85550999999998,145.02089
"Ascot Vale, Victoria",-37.77545999999995,144.91556000000003
"Ashburton, Victoria",-37.863099999999974,145.07716000000005
"Ashwood, Victoria",-37.81004320728129,144.98553130076522
"Aspendale Gardens, Victoria",-38.018219999999985,145.11359000000004
"Aspendale, Victoria",-38.026659999999936,145.10202000000004
"Attwood, Victoria",-37.81004320728129,144.98553130076522
"Auburn, Victoria",-37.81004320728129,144.98553130076522
"Aurora, Victoria",-37.81004320728129,144.98553130076522
"Avondale Heights, Victoria",-37.76718999999997,144.8641100000001
"Balaclava, Victoria",-37.86902999999995,144.99565000000007
"Balwyn, Victoria",-37.81004320728129,144.98553130076522
"Bayswater North, Victoria",-37.825229999999976,145.29046000000005
"Bayswater, Victoria",-37.85269716210715,145.26417434920404
"Beaconsfield, Victoria",-38.04553999999996,145.36797
"Beaumaris, Victoria",-37.98588999999998,145.05177000000003
"Belgrave Heights, Victoria",-37.92479999999995,145.34959000000003
"Belgrave South, Victoria",-37.93019999999996,145.3589700000001
"Belgrave, Victoria",-37.908649999999966,145.35575000000006
"Bellfield, Victoria",-37.750219999999956,145.03782
"Bentleigh East, Victoria",-37.92244999999997,145.06937000000005
"Bentleigh, Victoria",-37.91791999999998,145.0345000000001
"Berwick, Victoria",-37.81004320728129,144.98553130076522
"Bittern, Victoria",-37.81004320728129,144.98553130076522
"Black Rock, Victoria",-37.96892999999994,145.03070000000002
"Blackburn North, Victoria",-37.80034999999998,145.14469000000008
"Blackburn South, Victoria",-37.839129999999955,145.14652
"Blackburn, Victoria",-37.81777999999997,145.1541400000001
"Blairgowrie, Victoria",-38.36853915599994,144.77224352200005
"Bonbeach, Victoria",-38.06291999999996,145.1195100000001
"Bonnie Brook, Victoria",-37.81004320728129,144.98553130076522
"Boronia, Victoria",-37.86271999999997,145.28239000000008
"Box Hill North, Victoria",-37.80187999999998,145.12682000000007
"Box Hill South, Victoria",-37.83782999999994,145.12017000000003
"Box Hill, Victoria",-37.82292166512738,145.1303537770117
"Braeside, Victoria",-38.00828999999993,145.11259000000007
"Braybrook, Victoria",-37.780209999999954,144.85649000000012
"Briar Hill, Victoria",-37.69990999999993,145.115
"Brighton East, Victoria",-37.91417995137823,144.98768507269568
"Brighton, Victoria",-37.91417995137823,144.98768507269568
"Broadmeadows, Victoria",-37.686039999999934,144.92610000000002
"Brookfield, Victoria",-37.81004320728129,144.98553130076522
"Brooklyn, Victoria",-37.82017999999994,144.84927000000005
"Brunswick East, Victoria",-37.768054763280155,144.97160608035787
"Brunswick West, Victoria",-37.764813341894076,144.9438070950312
"Brunswick, Victoria",-37.76549496351066,144.9494950682621
"Bulleen, Victoria",-37.763324107486355,145.09718176317122
"Bundoora, Victoria",-37.70107999999993,145.0697
"Burnley, Victoria",-37.81004320728129,144.98553130076522
"Burnside Heights, Victoria",-37.73007999999993,144.75625000000002
"Burnside, Victoria",-37.76127999999994,144.75480000000005
"Burwood East, Victoria",-37.85009999999994,145.14911000000006
"Burwood, Victoria",-37.81004320728129,144.98553130076522
"Cairnlea, Victoria",-37.751709999999946,144.77807000000007
"Calder Park, Victoria",-37.798172085451974,144.99547265702648
"Camberwell, Victoria",-37.823741366911534,145.0600928714517
"Campbellfield, Victoria",-37.66674999999998,144.94970000000012
"Canterbury, Victoria",-37.82058455773152,145.07577669575758
"Capel Sound, Victoria",-38.37224897599998,144.87408833200004
"Carlton North, Victoria",-37.78917999999993,144.97188000000006
"Carlton, Victoria",-37.79307624764077,144.9725024357377
"Carnegie, Victoria",-37.889309999999966,145.05705000000012
"Caroline Springs, Victoria",-37.75039412140719,144.73530674305894
"Carrum Downs, Victoria",-38.10092999999995,145.1829100000001
"Carrum, Victoria",-37.81004320728129,144.98553130076522
"Caulfield East, Victoria",-37.87814999999995,145.04464000000007
"Caulfield North, Victoria",-37.86911999999995,145.02537000000007
"Caulfield South, Victoria",-37.89538999999996,145.01322000000005
"Caulfield, Victoria",-37.87994999999995,145.02262000000007
"Chadstone, Victoria",-37.88109999999995,145.0969500000001
"Chelsea Heights, Victoria",-38.04513999999995,145.13681000000008
"Chelsea, Victoria",-37.81004320728129,144.98553130076522
"Cheltenham, Victoria",-37.967619999999954,145.07388000000003
"Chirnside Park, Victoria",-37.727429845502066,145.34073411089489
"Clarinda, Victoria",-37.94121999999993,145.10269000000005
"Clayton South, Victoria",-37.94158999999996,145.12682000000007
"Clayton, Victoria",-37.81004320728129,144.98553130076522
"Clifton Hill, Victoria",-37.79025999999993,144.99481000000003
"Clyde North, Victoria",-38.090979999999945,145.33235000000002
"Cobblebank, Victoria",-37.81004320728129,144.98553130076522
"Coburg North, Victoria",-37.72370999999998,144.98314000000005
"Coburg, Victoria",-37.742370802913506,144.95864217753748
"Collingwood, Victoria",-37.80918885790758,144.98692452234178
"Coolaroo, Victoria",-37.66321999999997,144.9377800000001
"Craigieburn, Victoria",-37.592609964547066,144.90217008637956
"Cranbourne East, Victoria",-38.09503999999998,145.29340000000002
"Cranbourne North, Victoria",-38.07463999999993,145.27562000000012
"Cranbourne West, Victoria",-38.08217999999994,145.25772000000006
"Cranbourne, Victoria",-38.06539996204218,145.29906007708007
"Cremorne, Victoria",-37.828810695866046,144.99128642113422
"Crib Point, Victoria",-37.818304997784224,144.9469654937028
"Croydon Hills, Victoria",-37.774179999999944,145.2746400000001
"Croydon North, Victoria",-37.76869999999997,145.29803000000004
"Croydon South, Victoria",-37.81352999999996,145.28802000000007
"Croydon, Victoria",-37.81004320728129,144.98553130076522
"Dallas, Victoria",-37.81004320728129,144.98553130076522
"Dandenong North, Victoria",-37.959884960651344,145.20885009561144
"Dandenong South, Victoria",-38.01232999999996,145.20595000000003
"Dandenong, Victoria",-37.959884960651344,145.20885009561144
"Deanside, Victoria",-37.81004320728129,144.98553130076522
"Deepdene, Victoria",-37.81098999999995,145.06608000000006
"Deer Park, Victoria",-37.798172085451974,144.99547265702648
"Delahey, Victoria",-37.81004320728129,144.98553130076522
"Derrimut, Victoria",-37.794149999999945,144.7714800000001
"Diamond Creek, Victoria",-37.67727928210404,145.16194858731583
"Diggers Rest, Victoria",-37.67932377381087,144.75651450728313
"Dingley Village, Victoria",-37.981469999999945,145.13420000000008
"Docklands, Victoria",-37.81925999999993,144.94555000000003
"Doncaster East, Victoria",-37.77972738307967,145.14492890967423
"Doncaster, Victoria",-37.778479956452955,145.14510505140998
"Donvale, Victoria",-37.81004320728129,144.98553130076522
"Doreen, Victoria",-37.81004320728129,144.98553130076522
"Doveton, Victoria",-37.81004320728129,144.98553130076522
"Dromana, Victoria",-37.81004320728129,144.98553130076522
"Eaglemont, Victoria",-37.764209999999935,145.06756000000007
"East Melbourne, Victoria",-37.81004320728129,144.98553130076522
"Edithvale, Victoria",-38.036629999999946,145.11472000000003
"Elsternwick, Victoria",-37.88732240276221,145.00989551186356
"Eltham North, Victoria",-37.689329999999984,145.14277000000004
"Eltham, Victoria",-37.69749212623545,145.16486691866567
"Elwood, Victoria",-37.81004320728129,144.98553130076522
"Emerald, Victoria",-37.81004320728129,144.98553130076522
"Endeavour Hills, Victoria",-37.97813999999994,145.25756
"Epping, Victoria",-37.81004320728129,144.98553130076522
"Essendon Fields, Victoria",-37.71894999999995,144.89466000000004
"Essendon North, Victoria",-37.738719999999944,144.89602000000002
"Essendon West, Victoria",-37.75381999999996,144.88866000000007
"Essendon, Victoria",-37.751529999999946,144.90951000000007
"Eumemmerring, Victoria",-37.99914999999993,145.24999000000003
"Eynesbury, Victoria",-37.81004320728129,144.98553130076522
"Fairfield, Victoria",-37.774509999999964,145.0188700000001
"Fawkner, Victoria",-37.81004320728129,144.98553130076522
"Ferntree Gully, Victoria",-37.884117524077546,145.29366527257855
"Fieldstone, Victoria",-37.81004320728129,144.98553130076522
"Fitzroy North, Victoria",-37.78347999999994,144.98368000000005
"Fitzroy, Victoria",-37.80823298374112,144.9778140572034
"Flemington, Victoria",-37.786155932486004,144.9348462094582
"Footscray, Victoria",-37.801148737913934,144.89277504516878
"Forest Hill, Victoria",-37.84280999999993,145.1711100000001
"Frankston North, Victoria",-38.11791999999997,145.15933000000007
"Frankston South, Victoria",-38.171059999999954,145.1209500000001
"Frankston, Victoria",-38.15465624920864,145.12748980192845
"Fraser Rise, Victoria",-37.71062999999998,144.7241600000001
"Garden City, Victoria",-37.81004320728129,144.98553130076522
"Gardenvale, Victoria",-37.89589999999998,145.00499000000002
"Gladstone Park, Victoria",-37.69504999999998,144.8859900000001
"Glen Huntly, Victoria",-37.889309999999966,145.0413900000001
"Glen Iris, Victoria",-37.85474999999997,145.05222000000003
"Glen Waverley, Victoria",-37.8849544308811,145.1666924134657
"Glenroy, Victoria",-37.712973358435825,144.91191496324458
"Gowanbrae, Victoria",-37.70213999999993,144.8988300000001
"Grangefields, Victoria",-37.81004320728129,144.98553130076522
"Greensborough, Victoria",-37.716120620730315,145.10686995378876
"Greenvale, Victoria",-37.63593999999995,144.88962000000004
"Hadfield, Victoria",-37.71014999999994,144.9503400000001
"Hallam, Victoria",-37.80583999999993,144.95747000000006
"Hampton East, Victoria",-37.933029999999974,145.03388000000007
"Hampton Park, Victoria",-38.03388999999993,145.26574000000005
"Hampton, Victoria",-37.81004320728129,144.98553130076522
"Harkness, Victoria",-37.81004320728129,144.98553130076522
"Hastings, Victoria",-38.29724855699993,145.1851832420001
"Hawthorn East, Victoria",-37.821318192652626,145.04909241657023
"Hawthorn, Victoria",-37.82193995677956,145.04535508111368
"Heatherton, Victoria",-37.954039999999964,145.08431000000007
"Heathmont, Victoria",-37.829069999999945,145.24540000000002
"Heidelberg Heights, Victoria",-37.75281999999993,145.05047000000002
"Heidelberg West, Victoria",-37.747919999999965,145.04167000000007
"Heidelberg, Victoria",-37.75763999999998,145.06943
"Highett, Victoria",-37.81004320728129,144.98553130076522
"Hillside, Victoria",-37.67932377381087,144.75651450728313
"Hoppers Crossing, Victoria",-37.873354969952885,144.73710011445783
"Hughesdale, Victoria",-37.90018999999995,145.08085000000005
"Huntingdale, Victoria",-37.90232999999995,145.1051900000001
"Hurstbridge, Victoria",-37.62955996097511,145.18688007965073
"Ivanhoe East, Victoria",-37.77263999999997,145.05798000000004
"Ivanhoe, Victoria",-37.76771999999994,145.04343000000006
"Jacana, Victoria",-37.81004320728129,144.98553130076522
"Junction Village, Victoria",-38.13432999999998,145.29483000000005
"Kealba, Victoria",-37.81004320728129,144.98553130076522
"Keilor Downs, Victoria",-37.71635999999995,144.79081000000008
"Keilor East, Victoria",-37.739799999999946,144.86360000000002
"Keilor Lodge, Victoria",-37.700969999999984,144.79845000000012
"Keilor North, Victoria",-37.668939999999964,144.76569000000006
"Keilor Park, Victoria",-37.798172085451974,144.99547265702648
